ID,topwords,broadergroup
1,"currently, users, doctor",Understanding your body
2,"key, menstruation, parameters",Menstruation prediction
3,"predicted, dataprotect, lock",Menstruation prediction
4,"com, empowered, sex",Empower
5,"android, intensity, flow",Conception
6,"log, keep, want",Conception
7,"developed, personalized, sex",Conception
8,"packaging, prescribe, one",Understanding your body
9,"reproductive, lives, helped",Health
10,"details, calendars, feature",Understanding your body
11,"emergency, bill, aging",Medication
12,"notifications, pill, reminders",Birth control/Contraception
13,"intimacy, average, ladycloud",Menstruation prediction
14,"naturally, design, teach",Understanding your body
