app,language,newcomparableid,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15,average_16,average_17,average_18,average_19,average_20,average_21
Ovia,uk,26com.ovuline.fertilityuk,0.04585516289421408,0.04141280096857913,0.020031974738675958,0.03528092235373313,0.1611321684672695,0.08218247074887412,0.022199709292582262,0.04247451316456937,0.02546234993160463,0.027608623699501022,0.13093009135994918,0.023185514376032407,0.04478757285572129,0.045126268369762246,0.027253063834802724,0.030240383428474994,0.028692283582874716,0.02666352220333084,0.02591802791122935,0.05371178309609167,0.032644560221323504,0.027206232500803913
Ladytimer,cs,20772com.ladytimer.ovulationcalendarcs,0.048155234271753083,0.041116513671998284,0.021519150660770318,0.0428294967489228,0.13079886704607904,0.09247399105689529,0.026519683105323544,0.05122594440760189,0.030311919788416113,0.026105603416726585,0.09657753752935182,0.025241619316164726,0.043591523600028687,0.04418276929025438,0.028462665077457837,0.03013926822612711,0.02904266233119431,0.03216632747269495,0.0280920000277773,0.057570189356691115,0.031941598826011344,0.04193543477175943
Period tracker by PinkBird,cs,35646co.quanyong.pinkbirdcs,0.03291487717387023,0.03948136051019827,0.020400044705099856,0.03380706613187133,0.11092510208945437,0.09601435007477518,0.028019146163438945,0.05042735318400843,0.028376669041158896,0.024684822735846844,0.15766286006927333,0.02505785384279955,0.042899998094917506,0.043736317710491635,0.026889530873853092,0.030790678218301167,0.028105588526216366,0.02990420591773635,0.02687976729816622,0.061676333443444996,0.030116564781262622,0.031229509413814877
Easy Period,es,51130com.imzhiqiang.periodes,0.03736594867130927,0.03848010504564697,0.03377305938568779,0.08892888990239269,0.08931934483748381,0.029659905419469373,0.03064911026173545,0.04050062681649251,0.06323333516728195,0.036835905461726895,0.08293700689337245,0.029307034346638696,0.030481674055212987,0.03454880850203609,0.03707889033322899,0.05734286626154941,0.028553365409690754,0.04610203475220386,0.06251869386948077,0.033509593087334845,0.029432978506220807,0.039440823013803646
Clue,uz,51392com.clue.androiduz,0.03543355714292413,0.04050196411925363,0.02518556032878438,0.052210756804023165,0.10058011651288716,0.08523130595595371,0.03161111821007983,0.04471194729254244,0.03812746871561926,0.02991411590490385,0.07963138782676055,0.02864790447302142,0.043489864037260566,0.045078919259731155,0.039790330458710166,0.03721711835040182,0.030117105365473004,0.03502390607710208,0.03531692401629039,0.05567659147947172,0.03951619206019984,0.04698584560860578
Period Tracker & Diary,tr,171605com.brc.PeriodTrackerDiarytr,0.033894847044118256,0.04109269565803698,0.0219004196509459,0.037591039015189454,0.11919172236189939,0.09551178361318283,0.028143755331707467,0.05498572068580918,0.030793816767393862,0.026884981143299885,0.12365238877611781,0.025800725088731224,0.04269477492458083,0.0442893442574681,0.028226782322426924,0.035416933656450836,0.028304335108264588,0.03158059773622738,0.027212628954126808,0.05436204077101468,0.031463205362313534,0.037005461770694054
Nurx,jv,176224com.nurxjv,0.026137325736031957,0.037445737258746406,0.016721041548930105,0.02473320180218629,0.3024685463770504,0.05427941148355253,0.020473884820328674,0.048125911428531745,0.027421848129029917,0.020143733900083644,0.047934660583156465,0.015810224690110664,0.03050983730566631,0.10971870618888087,0.01841768063906745,0.018585772702171856,0.01985562138464913,0.02054278325779463,0.019139059074358616,0.07658516892567052,0.020586138909251758,0.024363703854750063
Period tracker for women,az,177864com.wachanga.womancalendaraz,0.03496222011032671,0.03909554522526574,0.022135400291973244,0.04448676806202294,0.12477897311727082,0.08098730547592806,0.028483884896327038,0.06342472217147611,0.03146710441607873,0.027733359718295755,0.11239719950709902,0.026249887831033724,0.04204851739601158,0.0436129799976081,0.029996003214202826,0.03467665781329468,0.02755688028580416,0.03419925393762542,0.029360942638049496,0.058253800400306574,0.030046198782299274,0.03404639471170002
WomanLog,mt,192787com.womanlogmt,0.034199859965277205,0.04406903119122019,0.02325304709021853,0.04727270236165198,0.11959544814516948,0.08836827044046787,0.027037262116081137,0.05386889448918244,0.03264729335855028,0.02896840989611277,0.09286375921458843,0.02909167328779205,0.04318739572839872,0.04327004685240814,0.02957668760509519,0.03563718967533625,0.027865676146375563,0.032052307717569194,0.03693101339276857,0.049453582872353484,0.03193049123128191,0.04885995722210066
Period Tracker Lite,cs,225613com.period.tracker.litecs,0.03637745297016112,0.04006851947854857,0.0229650417081304,0.0454556071643708,0.1215934594024863,0.08155878328008924,0.027863966772190867,0.05436735873928302,0.03146190651198023,0.028030958551004487,0.09288777708964101,0.028439672085519212,0.04096257902083197,0.04849681144070218,0.029260480653497862,0.03283934734060591,0.027102330622971696,0.03396944623928156,0.029978376534371957,0.059397319315307506,0.031093388140691902,0.05582941693833219
