language,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15,average_16,average_17,average_18,average_19,average_20,average_21
English,0.05757464960851759,0.03613020105946997,0.049239135764696615,0.047233166806210175,0.04714190018389943,0.057322992912184886,0.04476142765457783,0.044588006618384114,0.04239203657938172,0.04372292484489987,0.04718300481414547,0.04237798674809051,0.03794823937019716,0.048520002275316595,0.04206102901003863,0.03805246168619891,0.043413903242838635,0.034661826439482325,0.04957484285051,0.05287186116794957,0.04467018086687299,0.04855821949613701
Russian,0.039089750136086183,0.04270066887332104,0.025587760400561762,0.05714513511128121,0.1208355792260268,0.06922290612713279,0.0279889196691185,0.04883838846550357,0.04589148679717409,0.031221434891975423,0.0761210040327772,0.027742157202499732,0.03984891295618533,0.037551991195983056,0.03205283852738215,0.038587655483157166,0.02927065320031819,0.03692244408898181,0.047242636130849315,0.04569626198635799,0.032301229575564264,0.048140185921762335
Italian,0.034650399320493415,0.043216125511940144,0.02369278067266996,0.04425599336822469,0.09921067035386669,0.10924983347938307,0.026927493572721305,0.05549036326841407,0.03299733434608015,0.03024714982525899,0.07831560918056331,0.028920258793298986,0.044826724518840025,0.04034073684366858,0.039290900513728154,0.03451623881450253,0.027020303718000193,0.03181074314239399,0.033248187141797315,0.06339799031881499,0.032140672224092066,0.046233491071247496
Dutch,0.039698337063880415,0.03647189954688768,0.023514120619264063,0.04624754255640768,0.10503686123524078,0.07611657723768629,0.02876588743110971,0.052496061887543945,0.03292557593034342,0.02894031298481548,0.10045086565468214,0.029432488489263317,0.04886065023810187,0.0484250198844112,0.03652177129152975,0.03627513549087266,0.026142494035272763,0.03344185173482873,0.03707265890418027,0.057979244326408406,0.03511164739409463,0.04007299606317485
Polish,0.03633494685654455,0.0463828433796022,0.023621514419861836,0.04072519492842321,0.12132544555303044,0.1117522452033104,0.028899032153908336,0.045482628967626,0.03290592213888436,0.027934973710651397,0.08069300136705629,0.02783088948056839,0.04832310867168818,0.03991989759021265,0.030894020357097474,0.03575617510811012,0.026905710025561243,0.034300461889880285,0.033416842990723165,0.05452622582220114,0.031372005919035585,0.04069691346602272
Swedish,0.04468178638427415,0.037878219677409376,0.026459273670145608,0.04318686244974472,0.08780527179432732,0.04869328811879874,0.029069601455639523,0.04778094719333996,0.03981361240932625,0.028362961186334558,0.1084554866586056,0.02942884192827617,0.040813311217244276,0.04586844030102815,0.03281859281808293,0.039532270509967424,0.027368123294923254,0.03400646504339452,0.03250075365607256,0.04782315009446245,0.08877652311606686,0.03887621702253562
Spanish,0.04531535123101795,0.039012494987079635,0.025938698144852113,0.04947439470994919,0.0813634725766673,0.07460094837631068,0.03047148665019365,0.04778758439950928,0.03937749959952887,0.030917802543754293,0.08849073978723838,0.03219104800280464,0.04253274664537917,0.04347958541989771,0.03534008078870602,0.037555923272230354,0.033508875563813996,0.03541000908256603,0.041284281690954855,0.05330018932435091,0.04242780324974658,0.0502189839534484
Portuguese,0.03700319498174255,0.04467686651948207,0.023627998217756283,0.04590533524303702,0.10065361039797685,0.08260725632615047,0.0297670964506338,0.04633837650851901,0.035513448515001926,0.02730846343105707,0.09625947394770504,0.027382020129399522,0.045525817061464406,0.04662221090062263,0.03580967610464371,0.03423888407773742,0.03237301055697715,0.03348675990238421,0.03535350299506933,0.05495093935043077,0.04113994992355421,0.043456108458654635
arabic,0.034055388333550554,0.03871868167502412,0.019468147507674175,0.03173164728346496,0.24184621932871703,0.10909822851763189,0.026112817812302947,0.03942990653144297,0.025779746945556264,0.022343244580901662,0.058115145083288425,0.02404369360272035,0.04784733310545793,0.036756002616474596,0.023893682767357045,0.028119550598805127,0.027906752423311046,0.028224102998095614,0.024481960475518715,0.05358027625993933,0.028357063384427166,0.03009040816833812
French,0.04201303327955637,0.03769497575434889,0.02374440064058541,0.041335650750686494,0.106675685222624,0.10078168175176261,0.028414450803833296,0.05300973434997544,0.037006915032718433,0.02976667945926856,0.07595576121814054,0.027080838701648808,0.04467568829837152,0.040399189196152395,0.034785092862888285,0.03418074609025431,0.030314929276303165,0.031962752557332955,0.04150705383569379,0.05326986092536649,0.03852653420387321,0.046898345788615
