"","app","country","reviews","ratings","ratio"
"1","Period Tracker Lite","AE",176,719,0.00622491775457827
"2","Period Tracker Lite","AG",1,3,0.0000278208614729755
"3","Period Tracker Lite","AL",3,40,0.000299074260834487
"4","Period Tracker Lite","AM",1,28,0.000201701245679072
"5","Period Tracker Lite","AR",71,171,0.00168316211911502
"6","Period Tracker Lite","AT",186,314,0.00347760768412194
"7","Period Tracker Lite","AU",1135,1739,0.0199892889683329
"8","Period Tracker Lite","AZ",9,26,0.000243432537888536
"9","Period Tracker Lite","BB",2,17,0.000132149091996634
"10","Period Tracker Lite","BE",63,150,0.00148146087343595
"11","Period Tracker Lite","BG",10,60,0.000486865075777071
"12","Period Tracker Lite","BH",13,104,0.000813760198084534
"13","Period Tracker Lite","BM",1,2,0.0000208656461047316
"14","Period Tracker Lite","BN",1,6,0.0000486865075777071
"15","Period Tracker Lite","BO",3,6,0.0000625969383141949
"16","Period Tracker Lite","BR",549,1447,0.0138826098750148
"17","Period Tracker Lite","BS",6,24,0.000208656461047316
"18","Period Tracker Lite","BY",9,57,0.000459044214304096
"19","Period Tracker Lite","CA",3341,6631,0.0693574076521279
"20","Period Tracker Lite","CH",435,917,0.00940345117786572
"21","Period Tracker Lite","CL",145,212,0.00248301188646306
"22","Period Tracker Lite","CO",88,167,0.00177357991890219
"23","Period Tracker Lite","CR",28,84,0.000778984121243314
"24","Period Tracker Lite","CY",6,33,0.000271253399361511
"25","Period Tracker Lite","CZ",8,37,0.000312984691570975
"26","Period Tracker Lite","DE",1609,1714,0.0231121806686744
"27","Period Tracker Lite","DK",79,92,0.0011893418279697
"28","Period Tracker Lite","DO",62,146,0.00144668479659473
"29","Period Tracker Lite","DZ",3,13,0.000111283445891902
"30","Period Tracker Lite","EC",18,70,0.000612058952405461
"31","Period Tracker Lite","EE",4,21,0.000173880384206097
"32","Period Tracker Lite","EG",26,172,0.00137713264291229
"33","Period Tracker Lite","ES",371,653,0.00712214053708173
"34","Period Tracker Lite","FI",6,32,0.000264298183993267
"35","Period Tracker Lite","FR",1447,1471,0.0202953184445356
"36","Period Tracker Lite","GB",2616,3308,0.0412026958414767
"37","Period Tracker Lite","GD",2,6,0.000055641722945951
"38","Period Tracker Lite","GH",5,38,0.000299074260834487
"39","Period Tracker Lite","GR",73,211,0.00197528116458126
"40","Period Tracker Lite","GT",23,69,0.000639879813878437
"41","Period Tracker Lite","GY",1,5,0.0000417312922094633
"42","Period Tracker Lite","HK",148,502,0.00452088998935852
"43","Period Tracker Lite","HN",9,36,0.000312984691570975
"44","Period Tracker Lite","HR",32,99,0.000911133213239948
"45","Period Tracker Lite","HU",8,55,0.000438178568199364
"46","Period Tracker Lite","ID",27,88,0.000799849767348046
"47","Period Tracker Lite","IE",211,393,0.0042009500824193
"48","Period Tracker Lite","IL",38,110,0.00102937187450009
"49","Period Tracker Lite","IN",106,551,0.00456957649693623
"50","Period Tracker Lite","IS",2,8,0.0000695521536824388
"51","Period Tracker Lite","IT",401,410,0.00564067966364579
"52","Period Tracker Lite","JM",16,53,0.000479909860408828
"53","Period Tracker Lite","JO",21,140,0.00111978967428726
"54","Period Tracker Lite","JP",1691,1884,0.0248648949414719
"55","Period Tracker Lite","KE",4,37,0.000285163830097999
"56","Period Tracker Lite","KG",2,7,0.0000625969383141949
"57","Period Tracker Lite","KR",4393,4930,0.0648434728781377
"58","Period Tracker Lite","KW",60,327,0.00269166834751038
"59","Period Tracker Lite","KY",1,1,0.0000139104307364878
"60","Period Tracker Lite","KZ",15,74,0.000619014167773705
"61","Period Tracker Lite","LB",17,142,0.00110587924355078
"62","Period Tracker Lite","LK",3,20,0.000159969953469609
"63","Period Tracker Lite","LT",11,28,0.000271253399361511
"64","Period Tracker Lite","LU",11,40,0.000354715983780438
"65","Period Tracker Lite","LV",6,38,0.000306029476202731
"66","Period Tracker Lite","MD",1,12,0.0000904177997871704
"67","Period Tracker Lite","MK",2,17,0.000132149091996634
"68","Period Tracker Lite","MN",2,14,0.000111283445891902
"69","Period Tracker Lite","MO",5,26,0.00021561167641556
"70","Period Tracker Lite","MT",7,28,0.000243432537888536
"71","Period Tracker Lite","MU",1,13,0.0000973730151554143
"72","Period Tracker Lite","MX",1088,1994,0.0214359737649276
"73","Period Tracker Lite","MY",134,485,0.00430527831294296
"74","Period Tracker Lite","NG",7,33,0.000278208614729755
"75","Period Tracker Lite","NI",9,16,0.000173880384206097
"76","Period Tracker Lite","NL",275,387,0.00460435257377745
"77","Period Tracker Lite","NO",54,96,0.00104328230523658
"78","Period Tracker Lite","NZ",108,213,0.00223262413320628
