"","iso_2c","continent","region","CPAnyP","CPModP","CPTrad","UNMP","UNMModP","DEMTot","DEMMod","CPAnyN","DEMAny","CPModN","UNMN","UNMModN","CPTradN","DEMTotN","tfr","popFT","popFage","totpop","itu_internet","itu_mobile","itu_female_m","installation"
"1","AE","Asia","Western Asia","35.6","28.7","6.9","11.9","18.8","47.5","60.4","734228","75","591605","245021","387644","142623","979249",1.42,3054.051,1220.101,9890.4,94.8199225383446,185.779425345906,"100.0",264063
"2","AG","Americas","Latin America and the Caribbean","44.6","42.2","2.3","9.9","12.2","54.4","77.6","11454","81.9","10860","2538","3132","594","13992",2,50.659,18.445,97.928,NA,187.891227317751,NA,36274
"3","AL","Europe","Southern Europe","30.9","4.1","26.8","11.3","38.1","42.2","9.8","202871","73.3","27157","73981","249695","175714","276852",1.62,1413.086,447.411,2877.8,71.8470405043844,91.002944266048,"71.2",267854
"4","AM","Asia","Western Asia","39.2","20.8","18.4","8.1","26.5","47.3","43.9","291487","82.8","154691","60624","197421","136797","352111",1.7559,1569.487,484.338,2963.234,64.7448843250726,117.73577124792,"78.1",1031784
"5","AO","Africa","Sub-Saharan Africa","15.8","14.8","1","26.9","28","42.7","34.5","1246382","37","1164055","2124207","2206534","82327","3370588",5.55,16605.398,5335.358,32866.268,14.3390793643794,44.5595107348956,NA,5371741
"6","AR","Americas","Latin America and the Caribbean","59.7","57.3","2.4","8.3","10.7","68","84.3","6838486","87.8","6563039","945853","1221300","275446","7784339",2.268,23146.631,7957.74,45195.777,74.2949068657957,121.170399692679,"73.5",217873
"7","AT","Europe","Western Europe","65.9","63.3","2.6","5.2","7.8","71.1","89","1282855","92.7","1232378","101304","151782","50478","1384159",1.5292,4566.709,1361.311,9006.4,87.9355865856062,118.998127775388,"85.9",41339
"8","AU","Oceania","Australia and New Zealand","58.2","56.2","2","7.6","9.6","65.8","85.4","3461424","88.4","3343999","452671","570096","117425","3914095",1.8316,12801.256,4111.225,25499.881,86.5450488476768,107.659313273739,"86.1",6363044
"9","AZ","Asia","Western Asia","36.4","14.6","21.9","8.9","30.8","45.4","32.1","954201","80.3","381791","233913","806323","572410","1188114",2.0835,5074.511,1707.317,10139.175,79,102.023073470362,"82.2",1157394
"10","BA","Europe","Southern Europe","38.1","18.1","20","8.9","28.9","47","38.5","272279","81","129227","63733","206785","143051","336012",1.27,1674.206,525.271,3280.815,64.8920205128383,106.97554482585,"69.3",230570
"11","BB","Americas","Latin America and the Caribbean","49.9","46.7","3.2","11.9","15.1","61.8","75.6","33128","80.8","30997","7881","10011","2131","41008",1.62,148.287,48.296,287.371,81.7607783931079,102.65332753371,NA,1337328
"12","BE","Europe","Western Europe","59.1","58.5","0.6","5.5","6.1","64.5","90.6","1463520","91.5","1449174","136234","150580","14346","1599754",1.7148,5845.281,1755.127,11589.616,87.6796808175598,99.4832014811871,"91.1",72057
"13","BF","Africa","Sub-Saharan Africa","28.2","27.2","1","20.1","21.1","48.3","56.3","1423089","58.4","1372718","1013396","1063767","50371","2436485",5.2315,10458.565,3446.812,20903.278,15.8762069118956,105.807439820549,NA,232472
