"","iso_a2","markets","store"
"1","AF","Only App Store",1
"2","AX",NA,0
"3","AL","Both Markets",2
"4","DZ","Both Markets",2
"5","AS","Only Play Store",1
"6","AD",NA,0
"7","AO","Only App Store",1
"8","AI","Only App Store",1
"9","AQ",NA,0
"10","AG","Both Markets",2
"11","AR","Both Markets",2
"12","AM","Both Markets",2
"13","AW","Only Play Store",1
"14","AU","Both Markets",2
"15","AT","Both Markets",2
"16","AZ","Both Markets",2
"17","BS","Both Markets",2
"18","BH","Both Markets",2
"19","BD","Only Play Store",1
"20","BB","Only App Store",1
"21","BY","Both Markets",2
"22","BE","Both Markets",2
"23","BZ","Both Markets",2
"24","BJ","Both Markets",2
"25","BM","Only App Store",1
"26","BT","Only App Store",1
"27","BO","Both Markets",2
"28","BQ",NA,0
"29","BA","Both Markets",2
"30","BW","Both Markets",2
"31","BV",NA,0
"32","BR","Both Markets",2
"33","IO",NA,0
"34","BN","Only App Store",1
"35","BG","Both Markets",2
"36","BF","Both Markets",2
"37","BI",NA,0
"38","CV","Both Markets",2
"39","KH","Both Markets",2
"40","CM","Both Markets",2
"41","CA","Both Markets",2
"42","KY","Only App Store",1
"43","CF",NA,0
"44","TD","Only App Store",1
"45","CL","Both Markets",2
"46","CN","Only App Store",1
"47","CX",NA,0
"48","CC",NA,0
"49","CO","Both Markets",2
"50","KM",NA,0
"51","CG","Only App Store",1
"52","CD","Only App Store",1
"53","CK",NA,0
"54","CR","Both Markets",2
"55","CI","Both Markets",2
"56","HR","Both Markets",2
"57","CU",NA,0
"58","CW",NA,0
"59","CY","Both Markets",2
"60","CZ","Both Markets",2
"61","DK","Both Markets",2
"62","DJ",NA,0
"63","DM","Only App Store",1
"64","DO","Both Markets",2
"65","EC","Both Markets",2
"66","EG","Both Markets",2
"67","SV","Both Markets",2
"68","GQ",NA,0
"69","ER",NA,0
"70","EE","Both Markets",2
"71","SZ","Only App Store",1
"72","ET",NA,0
"73","FK",NA,0
"74","FO",NA,0
"75","FJ","Both Markets",2
"76","FI","Both Markets",2
"77","FR","Both Markets",2
"78","GF",NA,0
"79","PF",NA,0
"80","TF",NA,0
"81","GA","Both Markets",2
"82","GM","Only App Store",1
"83","GE","Both Markets",2
"84","DE","Both Markets",2
"85","GH","Both Markets",2
"86","GI",NA,0
"87","GR","Both Markets",2
"88","GL",NA,0
"89","GD","Only App Store",1
"90","GP",NA,0
"91","GU","Only Play Store",1
"92","GT","Both Markets",2
"93","GG",NA,0
"94","GN",NA,0
"95","GW","Both Markets",2
"96","GY","Only App Store",1
"97","HT","Only Play Store",1
"98","HM",NA,0
"99","VA",NA,0
"100","HN","Both Markets",2
"101","HK","Both Markets",2
"102","HU","Both Markets",2
"103","IS","Both Markets",2
"104","IN","Both Markets",2
"105","ID","Both Markets",2
"106","IR",NA,0
"107","IQ","Both Markets",2
"108","IE","Both Markets",2
"109","IM",NA,0
"110","IL","Both Markets",2
"111","IT","Both Markets",2
"112","JM","Both Markets",2
"113","JP","Both Markets",2
"114","JE",NA,0
"115","JO","Both Markets",2
"116","KZ","Both Markets",2
"117","KE","Both Markets",2
"118","KI",NA,0
"119","KP",NA,0
"120","KR","Only App Store",1
"121","KW","Both Markets",2
"122","KG","Both Markets",2
"123","LA","Both Markets",2
"124","LV","Both Markets",2
"125","LB","Both Markets",2
"126","LS",NA,0
"127","LR","Only App Store",1
"128","LY","Only App Store",1
"129","LI","Only Play Store",1
"130","LT","Both Markets",2
"131","LU","Both Markets",2
"132","MO","Both Markets",2
"133","MG","Only App Store",1
"134","MW","Only App Store",1
"135","MY","Both Markets",2
"136","MV","Both Markets",2
"137","ML","Both Markets",2
"138","MT","Both Markets",2
"139","MH","Only Play Store",1
"140","MQ",NA,0
"141","MR","Only App Store",1
"142","MU","Both Markets",2
"143","YT",NA,0
"144","MX","Both Markets",2
"145","FM","Only App Store",1
"146","MD","Both Markets",2
"147","MC",NA,0
"148","MN","Only App Store",1
"149","ME","Only App Store",1
"150","MS","Only App Store",1
"151","MA","Both Markets",2
"152","MZ","Both Markets",2
"153","MM","Both Markets",2
"154",NA,"Both Markets",2
"155","NR","Only App Store",1
"156","NP","Both Markets",2
"157","NL","Both Markets",2
"158","NC",NA,0
"159","NZ","Both Markets",2
"160","NI","Both Markets",2
"161","NE","Both Markets",2
"162","NG","Both Markets",2
"163","NU",NA,0
"164","NF",NA,0
"165","MK","Both Markets",2
"166","MP","Only Play Store",1
"167","NO","Both Markets",2
"168","OM","Both Markets",2
"169","PK","Both Markets",2
"170","PW","Both Markets",2
"171","PS",NA,0
