"","app","reviews","maxInstall","ratings"
"1","Period tracker by PinkBird",20689,3735052,136786
"2","Ava fertility tracker",727,85544,1445
"3","Woman Log & Ovulation Tracker",76,57210,10
"4","Period Tracker & Diary",7077,1253543,22961
"5","Period Tracker",5055,348905,18506
"6","Clue",47716,39427587,1062265
"7","OvaGraph",695,56066,1360
"8","GLOW",9426,2850819,66852
"9","Eve Period Tracker",7210,1722766,24872
"10","Easy Period",13,3739,65
"11","Kindara",837,313511,1677
"12","Ladytimer",14239,5925341,82811
"13","Natural Cycles",5001,806574,15033
"14","Nurx",285,130209,417
"15","Ovia",18608,2286655,64974
"16","Period Tracker Lite",20774,22204276,353618
"17","Fertility Friend",2426,1655908,15301
"18","Tempdrop",138,15083,277
"19","Period tracker for women",17342,2502408,88784
"20","WomanLog",22280,10067375,128721
"21","WOOM",4218,1685891,18613
"22","Maya",16430,8150813,219324
"23","FEMM",668,273744,1873
"24","Flo",47816,66461276,1860206
"25","Bellabeat",2365,377707,8964
