app,appId,country,reviews,score,reviewsCount,ratings,hist1,hist2,hist3,hist4,hist5
570244389,com.ovuline,MY,23,4.70967,62,62,2,0,2,6,52
570244389,com.ovuline,TZ,1,4.0,4,0,0,0,0,0,0
570244389,com.ovuline,MX,73,4.98305,118,118,0,0,0,2,116
570244389,com.ovuline,MZ,1,3.75,4,21336,361,196,384,1594,18801
570244389,com.ovuline,BG,2,4.90909,11,11,0,0,0,1,10
570244389,com.ovuline,ZA,58,4.73464,358,358,3,5,17,34,299
570244389,com.ovuline,NG,14,4.51898,79,79,1,4,3,16,55
570244389,com.ovuline,BS,1,4.64286,14,21336,361,196,384,1594,18801
570244389,com.ovuline,TH,5,4.73332,15,15,0,1,0,1,13
570244389,com.ovuline,BR,31,4.32558,43,43,3,0,7,3,30
570244389,com.ovuline,BE,7,4.8,35,35,0,0,1,5,29
570244389,com.ovuline,CA,609,4.6984,1313,1313,31,22,24,158,1078
570244389,com.ovuline,IE,51,4.63816,152,152,5,4,3,17,123
570244389,com.ovuline,KZ,1,4.66667,3,21336,361,196,384,1594,18801
570244389,com.ovuline,RO,10,4.98113,53,53,0,0,0,1,52
570244389,com.ovuline,EG,3,4.5,16,16,0,0,1,6,9
570244389,com.ovuline,ID,32,4.8,30,30,0,1,1,1,27
570244389,com.ovuline,IS,1,4.78261,23,23,0,0,2,1,20
570244389,com.ovuline,KN,1,5.0,2,21336,361,196,384,1594,18801
570244389,com.ovuline,HU,3,5.0,16,16,0,0,0,0,16
570244389,com.ovuline,FI,8,4.75,12,12,0,0,0,3,9
570244389,com.ovuline,PE,3,4.94118,17,17,0,0,0,1,16
570244389,com.ovuline,SI,2,4.94444,18,18,0,0,0,1,17
570244389,com.ovuline,ES,16,4.53333,45,45,2,2,1,5,35
570244389,com.ovuline,IT,19,4.73076,52,52,0,0,2,10,40
570244389,com.ovuline,PA,2,4.8,10,10,0,0,1,0,9
570244389,com.ovuline,DE,27,4.70512,78,78,1,1,3,10,63
570244389,com.ovuline,EC,4,4.9,10,10,0,0,0,1,9
570244389,com.ovuline,PT,6,4.8125,32,32,0,0,2,2,28
570244389,com.ovuline,HR,2,4.88235,17,17,0,0,1,0,16
570244389,com.ovuline,JM,2,4.66667,21,21,0,0,1,5,15
570244389,com.ovuline,IL,10,4.76087,46,46,0,0,3,5,38
570244389,com.ovuline,DK,16,4.85294,34,34,0,0,1,3,30
570244389,com.ovuline,SC,1,5.0,1,21336,361,196,384,1594,18801
570244389,com.ovuline,KE,1,4.85714,28,28,0,1,0,1,26
570244389,com.ovuline,KR,1,3.83333,6,21336,361,196,384,1594,18801
570244389,com.ovuline,HK,3,4.35714,14,14,1,0,1,3,9
570244389,com.ovuline,SA,2,4.62962,27,27,0,1,1,5,20
570244389,com.ovuline,PL,10,4.75861,29,29,1,0,1,1,26
570244389,com.ovuline,GR,1,4.92307,13,13,0,0,0,1,12
570244389,com.ovuline,IN,37,4.5618,267,267,4,8,9,59,187
570244389,com.ovuline,HN,1,5.0,2,0,0,0,0,0,0
570244389,com.ovuline,FR,21,4.87037,54,54,0,0,2,3,49
570244389,com.ovuline,PH,92,4.78298,235,235,1,3,6,26,199
570244389,com.ovuline,SE,16,4.58974,39,39,1,1,2,5,30
570244389,com.ovuline,JP,10,4.6875,32,32,0,1,3,1,27
570244389,com.ovuline,GB,1399,4.65585,1973,1973,60,32,47,249,1585
570244389,com.ovuline,SG,24,4.70909,55,55,2,0,1,6,46
570244389,com.ovuline,PK,3,4.56863,51,51,1,2,3,6,39
570244389,com.ovuline,DO,4,4.84615,13,21336,361,196,384,1594,18801
570244389,com.ovuline,GT,3,4.77778,9,9,0,0,1,0,8
570244389,com.ovuline,KW,3,4.25,4,0,0,0,0,0,0
570244389,com.ovuline,BH,1,4.55556,9,9,0,1,0,1,7
