app,appId,country,reviews,score,ratings,hist1,hist2,hist3,hist4,hist5
570244389,com.ovuline,my,23,4.75,172,3,0,7,17,145
570244389,com.ovuline,tz,1,4.54545,22,0,2,0,4,16
570244389,com.ovuline,mx,74,4.92021,376,0,3,3,15,355
570244389,com.ovuline,mz,1,4.16667,50754,545,330,993,3711,45175
570244389,com.ovuline,bg,2,4.43478,23,2,0,1,3,17
570244389,com.ovuline,uy,2,5.0,8,0,0,0,0,8
570244389,com.ovuline,za,59,4.74578,1066,8,11,44,118,885
570244389,com.ovuline,ng,16,4.61597,263,4,7,16,32,204
570244389,com.ovuline,bs,1,4.78571,50754,545,330,993,3711,45175
570244389,com.ovuline,th,5,4.7377,61,0,1,2,9,49
570244389,com.ovuline,be,7,4.72727,77,0,0,5,11,61
570244389,com.ovuline,ca,618,4.74366,3589,57,33,84,425,2990
570244389,com.ovuline,ie,51,4.73245,456,7,7,10,53,379
570244389,com.ovuline,kz,1,4.57143,50754,545,330,993,3711,45175
570244389,com.ovuline,ro,10,4.925,120,0,0,3,3,114
570244389,com.ovuline,eg,3,4.68293,41,0,1,0,10,30
570244389,com.ovuline,id,33,4.85586,111,0,1,5,3,102
570244389,com.ovuline,is,1,4.7907,43,0,0,3,3,37
570244389,com.ovuline,kn,1,4.4,50754,545,330,993,3711,45175
570244389,com.ovuline,hu,3,4.94444,36,0,0,0,2,34
570244389,com.ovuline,fi,8,4.54054,37,1,0,2,9,25
570244389,com.ovuline,pe,3,4.88636,44,1,0,0,1,42
570244389,com.ovuline,si,2,4.78125,32,0,0,2,3,27
570244389,com.ovuline,es,16,4.62727,110,3,2,4,15,86
570244389,com.ovuline,it,19,4.69048,126,1,1,6,20,98
570244389,com.ovuline,pa,2,4.88889,18,0,0,1,0,17
570244389,com.ovuline,de,26,4.67469,166,1,3,9,23,130
570244389,com.ovuline,ec,4,4.87879,33,0,1,0,1,31
570244389,com.ovuline,pt,6,4.81928,83,0,0,4,7,72
570244389,com.ovuline,hr,2,4.72414,29,1,1,0,1,26
570244389,com.ovuline,jm,2,4.81132,53,0,0,1,8,44
570244389,com.ovuline,il,11,4.67826,115,2,2,4,15,92
570244389,com.ovuline,dk,16,4.87097,62,0,0,1,6,55
570244389,com.ovuline,sc,1,5.0,50754,545,330,993,3711,45175
570244389,com.ovuline,ke,1,4.80374,107,0,2,2,11,92
570244389,com.ovuline,kr,1,4.0,50754,545,330,993,3711,45175
570244389,com.ovuline,hk,3,4.53659,41,1,0,5,5,30
570244389,com.ovuline,sa,3,4.5534,103,2,5,3,17,76
570244389,com.ovuline,pl,10,4.8125,64,1,0,1,6,56
570244389,com.ovuline,gr,1,4.72727,33,1,0,0,5,27
570244389,com.ovuline,in,39,4.6021,666,10,14,26,131,485
570244389,com.ovuline,hn,1,4.90909,11,0,0,0,1,10
570244389,com.ovuline,fr,21,4.81356,118,0,1,4,11,102
570244389,com.ovuline,ph,92,4.82092,564,1,3,17,54,489
570244389,com.ovuline,se,16,4.65789,76,1,1,5,9,60
570244389,com.ovuline,jp,10,4.69231,65,0,2,4,6,53
570244389,com.ovuline,gb,1412,4.72147,4822,86,51,154,538,3993
570244389,com.ovuline,sg,24,4.70504,139,4,2,1,17,115
570244389,com.ovuline,pk,4,4.55752,113,2,4,7,16,84
570244389,,ru,15,,,0,0,0,0,0
570244389,com.ovuline,do,5,4.9,50754,545,330,993,3711,45175
570244389,com.ovuline,gt,3,4.80769,26,0,1,1,0,24
570244389,com.ovuline,kw,3,4.77778,9,0,0,0,2,7
570244389,com.ovuline,bh,1,4.73684,19,0,1,0,2,16
570244389,com.ovuline,cl,3,4.88235,51,0,0,1,4,46
570244389,com.ovuline,tr,8,4.74118,85,1,3,1,7,73
570244389,com.ovuline,ua,2,4.5625,16,1,0,1,1,13
570244389,com.ovuline,cz,5,4.76316,38,1,0,0,5,32
570244389,com.ovuline,ae,16,4.71875,224,2,4,10,23,185
570244389,com.ovuline,ar,7,4.83721,43,1,0,1,1,40
570244389,com.ovuline,co,8,4.86,50,0,0,2,3,45
570244389,com.ovuline,cy,2,4.875,8,0,0,0,1,7
570244389,,cn,4,,,0,0,0,0,0
570244389,com.ovuline,lv,1,4.69231,26,1,0,1,2,22
570244389,com.ovuline,nz,89,4.68421,513,8,6,17,78,404
570244389,com.ovuline,by,1,5,5,0,0,0,0,5
570244389,com.ovuline,au,643,4.76736,2794,43,23,69,271,2388
570244389,com.ovuline,bn,2,4,7,1,0,0,3,3
570244389,com.ovuline,tt,1,4.85417,50754,545,330,993,3711,45175
570244389,com.ovuline,at,1,4.71429,28,0,1,2,1,24
570244389,com.ovuline,nl,26,4.73332,135,0,2,6,18,109
570244389,com.ovuline,mu,1,4.5,6,0,1,0,0,5
570244389,com.ovuline,us,8441,4.82529,50754,545,330,993,3711,45175
570244389,com.ovuline,tw,1,5,6,0,0,0,0,6
570244389,com.ovuline,ch,5,4.80328,61,1,1,0,5,54
570244389,com.ovuline,mt,2,4.94118,17,0,0,0,1,16
570244389,com.ovuline,no,15,4.77215,79,0,0,5,8,66
406762826,com.ladytimer.ladycalendar,my,4,4.47058,17,0,0,2,5,10
406762826,com.ladytimer.ladycalendar,cr,3,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,az,1,5,5,0,0,0,0,5
406762826,com.ladytimer.ladycalendar,ve,20,4.91667,12,0,0,0,1,11
406762826,com.ladytimer.ladycalendar,tz,2,4.58333,12,0,1,0,2,9
406762826,com.ladytimer.ladycalendar,mx,207,4.64623,212,7,3,3,32,167
406762826,com.ladytimer.ladycalendar,tn,2,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,ao,1,4.5,6,0,0,1,1,4
406762826,com.ladytimer.ladycalendar,bg,1,4.66667,6,0,0,1,0,5
406762826,com.ladytimer.ladycalendar,tj,1,5,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,za,2,4.375,16,0,1,2,3,10
406762826,com.ladytimer.ladycalendar,zw,1,3.25,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,bf,2,3.5,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,ng,25,4.43182,132,4,5,7,30,86
406762826,com.ladytimer.ladycalendar,bs,1,5,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,th,61,4.50746,134,4,1,6,35,88
406762826,com.ladytimer.ladycalendar,br,481,4.6129,465,21,8,13,46,377
406762826,com.ladytimer.ladycalendar,be,72,4.692,250,2,0,8,53,187
406762826,com.ladytimer.ladycalendar,ca,89,4.68478,92,1,0,1,23,67
406762826,com.ladytimer.ladycalendar,ie,7,5,5,0,0,0,0,5
406762826,com.ladytimer.ladycalendar,ro,6,4.82609,23,0,0,1,2,20
406762826,com.ladytimer.ladycalendar,eg,1,4.66667,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,id,32,4.68831,77,1,2,1,12,61
406762826,com.ladytimer.ladycalendar,hu,1,4.75,16,0,0,1,2,13
406762826,com.ladytimer.ladycalendar,fi,4,4,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,ee,1,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,pe,3,4.88235,17,0,0,0,2,15
406762826,com.ladytimer.ladycalendar,si,1,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,es,87,4.4421,95,4,3,3,22,63
406762826,com.ladytimer.ladycalendar,it,154,4.66667,93,1,3,3,12,74
406762826,com.ladytimer.ladycalendar,gh,2,3.625,32,2,6,4,10,10
406762826,com.ladytimer.ladycalendar,pa,3,4.875,8,0,0,0,1,7
406762826,com.ladytimer.ladycalendar,de,356,4.52963,270,13,2,12,45,198
406762826,com.ladytimer.ladycalendar,ec,6,4.82353,17,0,0,1,1,15
406762826,com.ladytimer.ladycalendar,sn,1,4,9,0,2,0,3,4
406762826,com.ladytimer.ladycalendar,pt,7,4.63636,11,0,0,1,2,8
406762826,com.ladytimer.ladycalendar,il,2,4.83333,6,0,0,0,1,5
406762826,com.ladytimer.ladycalendar,dk,18,4.59999,20,0,0,1,6,13
406762826,com.ladytimer.ladycalendar,py,2,4.625,8,0,0,1,1,6
406762826,com.ladytimer.ladycalendar,kr,14,4.57143,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,hk,5,4.16667,6,0,0,1,3,2
406762826,com.ladytimer.ladycalendar,sv,1,4.25,8,1,0,0,2,5
406762826,com.ladytimer.ladycalendar,sa,3,4.53333,15,0,1,0,4,10
406762826,com.ladytimer.ladycalendar,pl,10,4.32258,31,1,2,3,5,20
406762826,com.ladytimer.ladycalendar,gr,3,4.92856,14,0,0,0,1,13
406762826,com.ladytimer.ladycalendar,in,4,4.5,12,0,1,0,3,8
406762826,com.ladytimer.ladycalendar,hn,4,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,dz,2,4.33333,6,0,0,2,0,4
406762826,com.ladytimer.ladycalendar,fr,674,4.59494,632,11,11,21,137,452
406762826,com.ladytimer.ladycalendar,ph,5,4.33333,18,1,0,3,2,12
406762826,com.ladytimer.ladycalendar,se,15,4.6875,16,0,0,1,3,12
406762826,com.ladytimer.ladycalendar,jp,17,4.66667,12,0,1,0,1,10
406762826,com.ladytimer.ladycalendar,gb,160,4.6875,64,0,1,1,15,47
406762826,com.ladytimer.ladycalendar,sg,9,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,ru,549,4.35576,416,46,9,9,39,313
406762826,com.ladytimer.ladycalendar,do,7,4.83721,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,gt,3,4.28571,7,0,0,1,3,3
406762826,com.ladytimer.ladycalendar,lt,1,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,mg,1,4.33333,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,cl,32,4.64103,39,0,1,3,5,30
406762826,com.ladytimer.ladycalendar,tr,68,4.23478,115,16,1,5,11,82
406762826,com.ladytimer.ladycalendar,ae,6,4.76923,13,0,0,1,1,11
406762826,com.ladytimer.ladycalendar,ar,8,4.625,24,1,0,0,5,18
406762826,com.ladytimer.ladycalendar,lu,4,4.55556,9,0,0,0,4,5
406762826,com.ladytimer.ladycalendar,co,66,4.71429,84,1,1,2,13,67
406762826,com.ladytimer.ladycalendar,vn,16,4.47825,69,1,1,6,17,44
406762826,com.ladytimer.ladycalendar,bj,1,4.28571,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,cn,29,4.4,15,1,0,2,1,11
406762826,com.ladytimer.ladycalendar,ni,1,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,nz,2,4.4,5,0,0,1,1,3
406762826,com.ladytimer.ladycalendar,au,34,4,16,1,0,4,4,7
406762826,com.ladytimer.ladycalendar,ug,2,4.5,6,0,0,0,3,3
406762826,com.ladytimer.ladycalendar,at,22,4.80556,36,0,0,0,7,29
406762826,com.ladytimer.ladycalendar,nl,57,4.51724,87,5,1,4,11,66
406762826,com.ladytimer.ladycalendar,mu,2,5,0,0,0,0,0,0
406762826,com.ladytimer.ladycalendar,us,450,4.71509,351,4,5,7,55,280
406762826,com.ladytimer.ladycalendar,tw,2,4.375,8,0,1,1,0,6
406762826,com.ladytimer.ladycalendar,ch,69,4.55714,70,2,1,5,10,52
406762826,com.ladytimer.ladycalendar,no,25,4.68,25,0,0,1,6,18
1210553544,co.quanyong.pink,my,5,4.56818,44,0,3,1,8,32
1210553544,co.quanyong.pink,mx,25,4.73529,136,1,5,1,15,114
1210553544,co.quanyong.pink,za,2,4.68421,19,0,0,1,4,14
1210553544,co.quanyong.pink,ng,3,4.25,16,1,1,1,3,10
1210553544,co.quanyong.pink,uz,2,4.86364,22,0,0,0,3,19
1210553544,co.quanyong.pink,th,300,4.68923,2999,51,27,144,359,2418
1210553544,co.quanyong.pink,br,56,4.5082,183,11,3,11,15,143
1210553544,co.quanyong.pink,be,1,4.8,5,0,0,0,1,4
1210553544,co.quanyong.pink,ca,14,4.41892,74,4,2,4,13,51
1210553544,co.quanyong.pink,ie,1,4.75,0,0,0,0,0,0
1210553544,co.quanyong.pink,kz,2,4.625,6036,128,75,178,608,5047
1210553544,co.quanyong.pink,ro,1,4.125,8,1,1,0,0,6
1210553544,co.quanyong.pink,eg,2,4.8,10,0,0,0,2,8
1210553544,co.quanyong.pink,id,3,4.85714,14,0,0,0,2,12
1210553544,co.quanyong.pink,is,1,5,0,0,0,0,0,0
1210553544,co.quanyong.pink,qa,1,5,0,0,0,0,0,0
1210553544,co.quanyong.pink,pe,3,4.78571,14,0,0,1,1,12
1210553544,co.quanyong.pink,es,4,4.45098,51,4,0,2,8,37
1210553544,co.quanyong.pink,it,1,4.66667,12,0,0,0,4,8
1210553544,co.quanyong.pink,gh,2,4.7,10,0,0,0,3,7
1210553544,co.quanyong.pink,pa,1,4.5,0,0,0,0,0,0
1210553544,co.quanyong.pink,de,1,4.4,10,1,0,0,2,7
1210553544,co.quanyong.pink,pt,1,4.8,20,0,0,0,4,16
1210553544,co.quanyong.pink,hr,1,5,0,0,0,0,0,0
1210553544,co.quanyong.pink,py,2,4.71429,7,0,0,1,0,6
1210553544,co.quanyong.pink,kr,1,4.5,6036,128,75,178,608,5047
1210553544,co.quanyong.pink,kg,1,5,6036,128,75,178,608,5047
1210553544,co.quanyong.pink,sa,2,4.80952,21,0,0,1,2,18
1210553544,co.quanyong.pink,pl,2,4.71429,7,0,0,0,2,5
1210553544,co.quanyong.pink,in,4,4.57895,19,1,0,1,2,15
1210553544,co.quanyong.pink,ph,3,4.55999,25,1,1,1,2,20
1210553544,co.quanyong.pink,se,3,3.77778,9,1,0,2,3,3
1210553544,co.quanyong.pink,gb,43,4.70482,166,1,5,4,22,134
1210553544,co.quanyong.pink,sg,1,4.7,10,0,0,1,1,8
1210553544,co.quanyong.pink,ru,101,4.76487,1076,22,14,30,63,947
1210553544,co.quanyong.pink,do,2,4.58824,6036,128,75,178,608,5047
1210553544,co.quanyong.pink,gt,1,4.875,8,0,0,0,1,7
1210553544,co.quanyong.pink,cl,10,4.62962,27,0,1,3,1,22
1210553544,co.quanyong.pink,ua,17,4.61111,180,7,2,10,16,145
1210553544,co.quanyong.pink,cz,1,3.875,8,1,0,1,3,3
1210553544,co.quanyong.pink,ae,7,4.36,25,0,3,3,1,18
1210553544,co.quanyong.pink,ar,7,4.625,32,1,0,2,4,25
1210553544,co.quanyong.pink,co,4,4.77778,27,0,0,2,2,23
1210553544,co.quanyong.pink,ag,1,5,6036,128,75,178,608,5047
1210553544,co.quanyong.pink,vn,57,4.66977,430,9,7,20,45,349
