"","iso_2c","app1","app2","app3","app4","app5","app6","app7","app8","app9","app10","app11","app12","app13","app14","app15","app16","app17","app18","app19","app20","app21","app22","app23","app24","app25"
"1","AL",43,NA,NA,199,NA,12,NA,NA,NA,23,356,5,NA,7,NA,4622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DZ",16,8,NA,108,NA,9,NA,NA,NA,NA,573,4,NA,NA,NA,3705,NA,NA,NA,NA,NA,NA,NA,NA,109
"3","AG",4,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,2,NA,NA,NA
"4","AR",242,29,NA,471,9,671,31,22,2,57,21655,16,24,67,486,22649,NA,36,NA,NA,NA,32,NA,198,885
"5","AM",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,NA,NA,NA,4095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AU",2874,50,NA,20574,798,136,1111,1852,44,2009,33765,1519,1154,70,4959,57476,14,NA,NA,20,113,128,NA,2,509
"7","AT",500,56,NA,374,9,90,24,16,NA,30,8512,12,67,15,55,11534,112,124,NA,NA,NA,NA,NA,NA,1441
"8","AZ",35,6,NA,NA,NA,14,NA,NA,NA,NA,333,3,NA,NA,NA,3930,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BH",117,NA,NA,454,NA,NA,NA,10,NA,26,267,6,NA,NA,49,1074,NA,NA,NA,NA,NA,NA,NA,NA,129
"10","BY",66,NA,114,26,NA,84,NA,4,NA,9,1764,2,NA,NA,28,10619,NA,NA,114,NA,NA,13,NA,NA,65
"11","BE",213,312,50,799,23,134,35,42,NA,95,7951,18,93,NA,104,12711,12,38,50,NA,NA,6,NA,NA,2242
"12","BZ",NA,NA,NA,18,NA,NA,NA,NA,2,NA,55,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BO",9,NA,NA,59,NA,44,3,NA,NA,NA,860,NA,NA,NA,30,2241,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BW",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BR",1996,927,406,4147,73,11179,185,74,8,486,128803,48,730,217,891,241931,NA,376,406,NA,NA,184,NA,NA,11978
"17","BG",70,7,31,712,NA,16,5,13,NA,27,825,16,5,NA,80,1896,NA,NA,31,NA,NA,NA,NA,NA,90
"18","BF",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,893,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","KH",NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,944,NA,NA,NA,NA,NA,NA,NA,NA,NA
